RNA site location (hg38)	H276_OLIG	H286_OLIG	H344_OLIG	H372_OLIG	H395_OLIG	H406_OLIG	H412_OLIG	H427_OLIG	H444_OLIG
chr1_100024015	0.14	0.13	0.12	0.15	0.13	0.1	0.08	0.2	0.24
chr1_100024063	0.078	0.078	0.078	0.121	0.108	0.098	0.07	0.056	0.075
chr1_100042711	0.444	0.136	0.263	0.3	0.429	0.364	0.286	0.3	0.3
chr1_100042720	0.421	0.182	0.316	0.5	0.429	0.455	0.214	0.401	0.381
chr1_100042747	0.56	0.43	0.58	0.31	0.69	0.6	0.42	0.38	0.33
chr1_100139989	0.19	0.09	0.33	0.23	0.17	0.21	0.17	0.21	0.11
chr1_100140014	0.77	0.71	0.64	0.69	1	0.38	0.83	0.88	1
chr1_100140019	0.92	0.94	1	1	1	0.93	1	0.62	0.71
chr1_100145653	0.086	0.077	0.118	0.118	0.085	0.194	0.261	0.118	0.417
chr1_100145709	0.2	0.12	0.37	0.22	0.35	0.29	0.4	0.32	0.46
chr1_100145737	0.42	0.31	0.46	0.33	0.23	0.58	0.2	0.375	0.67
chr1_100145764	0.83	0.57	0.63	0.77	0.85	0.74	0.71	0.33	0.81
chr1_100145786	0.13	0.161	0.227	0.176	0.227	0.357	0.312	0.227	0.5
chr1_100145825	0.182	0.214	0.188	0.522	0.15	0.733	0.176	0.167	0.136
chr1_100145828	0.39	0.41	0.43	0.44	0.25	0.73	0.55	0.435	0.56
chr1_100223537	1	1	1	1	1	1	1	1	1
chr1_100255128	0.515	0.59	0.25	0.93	0.43	0.65	0.33	0.64	0.44
chr1_100264596	0.29	0.52	0.28	0.14	0.31	0.28	0.285	0.33	0.28
chr1_100264601	0.26	0.45	0.28	0.13	0.31	0.26	0.41	0.27	0.25
chr1_100264602	0.25	0.41	0.31	0.29	0.31	0.27	0.29	0.29	0.26
chr1_100264604	0.25	0.44	0.26	0.14	0.31	0.26	0.44	0.29	0.28
chr1_100271215	0.78	0.81	1	0.96	1	0.69	0.69	0.67	0.67
chr1_100278864	1	1	1	1	1	1	1	1	1
chr1_100279675	1	1	1	0.739	1	1	1	1	0.765
chr1_100279722	0.1	0.32	0.23	0.25	0.32	0.57	0.15	0.12	0.17
chr1_100279729	1	1	1	0.684	1	1	1	1	0.636
chr1_100280929	0.167	0.235	0.222	0.219	0.235	0.412	0.458	0.235	0.312
chr1_100280984	0.24	0.22	0.32	0.26	0.31	0.41	0.26	0.07	0.45
chr1_100291773	0.85	0.77	0.8	0.75	0.67	0.92	0.92	0.83	1
chr1_10038940	0.2	0.273	0.25	0.2	0.417	0.2	0.2	0.136	0.158
chr1_10038953	0.28	0.26	0.48	0.31	0.5	0.48	0.57	0.5	0.48
chr1_10038963	0.125	0.321	0.312	0.308	0.31	0.263	0.316	0.379	0.19
chr1_10038979	0.49	0.65	0.57	0.62	0.84	0.46	0.67	0.56	0.74
chr1_10038980	0.17	0.42	0.14	0.32	0.17	0.12	0.35	0.34	0.11
chr1_10038985	0.12	0.22	0.22	0.33	0.25	0.11	0.15	0.14	0.14
chr1_10038992	0.19	0.08	0.19	0.19	0.21	0.13	0.12	0.19	0.21
chr1_10039047	0.17	0.07	0.17	0.13	0.17	0.22	0.17	0.17	0.18
chr1_10075897	0.25	0.286	0.286	0.308	0.167	0.4	0.333	0.286	0.13
chr1_10075923	0.57	0.59	0.44	0.75	0.57	0.6	0.82	0.37	0.44
chr1_10076001	0.29	0.42	0.44	0.54	0.33	0.28	0.17	0.47	0.29
chr1_10076031	0.27	0.38	0.63	0.61	0.38	0.58	0.2	0.37	0.59
chr1_10080538	0.06	0.083	0.115	0.176	0.115	0.111	0.216	0.115	0.125
chr1_10080636	0.217	0.345	0.225	0.222	0.057	0.273	0.107	0.155	0.236
chr1_10080641	0.23	0.23	0.23	0.27	0.23	0.23	0.37	0.22	0.27
chr1_10080720	0.1	0.1	0.13	0.09	0.1	0.1	0.1	0.1	0.1
chr1_10080735	0.038	0.125	0.189	0.14	0.103	0.091	0.131	0.128	0.196
chr1_10080739	0.32	0.31	0.35	0.35	0.26	0.39	0.33	0.26	0.45
chr1_10080742	0.19	0.09	0.09	0.1	0.06	0.07	0.14	0.11	0.17
chr1_10082367	0.23	0.22	0.2	0.24	0.21	0.65	0.3	0.235	0.35
chr1_10082380	0.21	0.2	0.32	0.33	0.14	0.35	0.54	0.325	0.43
chr1_10082430	0.24	0.17	0.15	0.3	0.25	0.56	0.33	0.275	0.37
chr1_10082433	0.059	0.094	0.222	0.13	0.128	0.13	0.222	0.13	0.25
